rank,pp,accuracy,play_count,level,total_score,best_pp_avg,best_pp_median,best_accuracy_avg,best_combo_avg,best_count,pass_plays_count,pass_rate,ss_count,s_count,a_count,b_count,c_count,grade_diversity,peak_pp,peak_to_avg_ratio,pp_std,pp_range,consistency_score,accuracy_std,min_accuracy,max_accuracy,max_combo,avg_combo,ranked_score,ranked_score_ratio,pp_gain_week,pp_gain_month,pp_gain_quarter,plays_week,plays_month,recent_count,recent_pass_count,fail_rate,avg_recent_pp,improvement_trend,activity_range_days,plays_per_day,avg_days_between_plays,total_hits,hits_per_play,pp_per_play,pp_per_level,avg_score_per_play,overall_consistency,nlp_genre_anime,nlp_genre_electronic,nlp_genre_rock,nlp_genre_pop,nlp_genre_classical,nlp_genre_game,nlp_genre_anime_ratio,nlp_genre_electronic_ratio,nlp_genre_rock_ratio,nlp_genre_pop_ratio,nlp_genre_classical_ratio,nlp_genre_game_ratio,nlp_diff_easy,nlp_diff_medium,nlp_diff_hard,nlp_diff_expert,nlp_diff_easy_ratio,nlp_diff_medium_ratio,nlp_diff_hard_ratio,nlp_diff_expert_ratio,nlp_avg_diff_number,nlp_max_diff_number,nlp_mod_hd,nlp_mod_hr,nlp_mod_dt,nlp_mod_nc,nlp_mod_fl,nlp_mod_ez,nlp_mod_ht,nlp_mod_nf,nlp_mod_so,nlp_mod_sd,nlp_mod_pf,nlp_mod_hdhr,nlp_mod_hddt,nlp_mod_hrdt,nlp_mod_diversity,nlp_mod_total,nlp_avg_mods_per_play,nlp_nomod_ratio,nlp_unique_songs,nlp_unique_artists,nlp_song_diversity,nlp_artist_diversity,nlp_avg_title_length,nlp_japanese_ratio
438.0,15508.2,99.3111,77626.0,108.0,850820949396.0,812.4604,717.9404999999999,0.9923067401149449,2029.95,100.0,100.0,1.0,0.0,0.0,30.0,0.0,0.0,0.2,915.941,1.1273669461305438,56.04826775467374,257.172,0.017529016030781653,0.004954272694175177,0.9776616689383614,0.998707453683757,6981.0,2029.95,123741299315.0,0.14543753230670245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35103095.0,452.2079586736403,0.19978100121093448,143.59444444444446,10960515.154664675,0.3506428661043234,1.0,1.0,2.0,0.0,0.0,1.0,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.0,3.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,100.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,0.0,3.0,137.0,1.37,0.0,86.0,66.0,0.86,0.66,3.03,0.0
288.0,16486.5,97.7681,99045.0,100.0,62629153935.0,876.6845999999999,750.8995,0.979396423459795,274.5,100.0,100.0,1.0,0.0,16.0,23.0,4.0,0.0,0.6,1063.07,1.212602571095694,67.55198073464908,366.2289999999999,0.014587470548382822,0.01684692055442175,0.9343971631205674,1.0,479.0,274.5,4667805890.0,0.0745308789392957,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,16105067.0,162.60353374728658,0.16645464182947145,164.865,632330.2936543995,0.3281942519011418,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.5,0.5,3.5,10.0,25.0,24.0,62.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,21.0,21.0,5.0,153.0,1.5,0.0196078431372549,68.0,62.0,0.6666666666666666,0.6078431372549019,4.362745098039215,0.0
477.0,15340.8,99.2521,83466.0,105.0,589999257966.0,793.7027999999998,721.2855,0.9935912406676046,2667.5,100.0,100.0,1.0,0.0,38.0,12.0,0.0,0.0,0.4,826.919,1.0418496696748458,43.32948562809856,161.34899999999993,0.022558348824290055,0.003919673860908387,0.9838187702265372,0.9991220368744512,3869.0,2667.5,84737601006.0,0.14362323318529188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37310172.0,447.01042340593773,0.1837969951836676,146.10285714285715,7068737.665228955,0.3521103094853036,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.26,0.74,87.0,58.0,0.87,0.58,3.27,0.0
440.0,15499.1,99.1232,143518.0,102.0,282937849239.0,811.8861999999999,720.782,0.9925329456759526,2041.8,100.0,100.0,1.0,0.0,35.0,15.0,0.0,0.0,0.4,865.513,1.0660521142002415,57.20193938579706,219.486,0.01718155804691327,0.004023968629426432,0.9827351203998183,0.9976722532588455,3175.0,2041.8,33121395813.0,0.11706244287247011,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,250.05599999999998,0.0,1.0,2.0,0.0,30001789.0,209.04547861592275,0.10799411920455972,151.95196078431374,1971445.0399183377,0.34199135608050635,3.0,1.0,2.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.6,0.4,5.8,7.0,0.0,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,0.6568627450980392,0.3431372549019608,81.0,64.0,0.7941176470588235,0.6274509803921569,3.4215686274509802,0.0
239.0,16922.6,97.1423,127889.0,101.0,147297068148.0,901.9278,777.6015,0.9748672910302393,467.8,100.0,100.0,1.0,0.0,0.0,42.0,1.0,0.0,0.4,974.742,1.0807317392811264,68.469747570503,267.674,0.014394755054855015,0.0137965541261054,0.9342948717948718,0.9934959349593496,1287.0,467.8,23824334991.0,0.1617434433050763,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,310.3709692307693,0.0,1.0,13.0,0.0,23494554.0,183.7105145868683,0.13232256097084188,167.55049504950495,1151757.1342961474,0.35428093501346486,2.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.25,3.0,106.0,7.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,106.0,0.0,3.0,219.0,1.9380530973451326,0.061946902654867256,80.0,73.0,0.7079646017699115,0.6460176991150443,4.008849557522124,0.0
499.0,15257.5,98.332,84293.0,100.0,104472558854.0,805.2911,704.3240000000001,0.9845132498021612,517.35,100.0,100.0,1.0,0.0,0.0,19.0,0.0,0.0,0.2,920.722,1.143340588266777,55.31236275267582,275.424,0.017758089895677173,0.01187924886757392,0.9588189588189588,1.0,1348.0,517.35,11211258800.0,0.10731295301829154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21156859.0,250.99188544719016,0.18100554019906753,152.575,1239397.8011697293,0.3392971218637583,2.0,2.0,1.0,1.0,0.0,2.0,0.25,0.25,0.125,0.125,0.0,0.25,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.5,2.0,99.0,0.0,96.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,3.0,198.0,1.98,0.01,80.0,69.0,0.8,0.69,3.6,0.0
471.0,15368.4,98.3785,139629.0,101.0,162529906299.0,814.0725,702.155,0.9833048662875582,856.35,100.0,100.0,1.0,0.0,0.0,9.0,0.0,0.0,0.2,912.21,1.1205513022488784,59.72364496376958,273.51,0.0164680496468327,0.01209844033137034,0.9594395280235988,0.9977997799779978,2900.0,856.35,24647413224.0,0.15164847987211108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22195588.0,158.9611613633271,0.11006596050963625,152.16237623762376,1164012.5353544035,0.3520817638203664,3.0,0.0,3.0,0.0,0.0,1.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,4.0,1.0,0.0,0.0,0.8,0.2,2.5,3.0,100.0,1.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0,0.0,4.0,194.0,1.94,0.0,91.0,83.0,0.91,0.83,3.32,0.0
162.0,17624.1,97.9946,165949.0,103.0,403130030270.0,945.5402,811.3689999999999,0.9800127133264198,1261.3,100.0,100.0,1.0,0.0,23.0,26.0,0.0,0.0,0.4,1065.9,1.1272921024404885,70.99950137199839,335.58100000000013,0.013888985075512119,0.009006728541512691,0.9593730006397952,0.9957044673539519,3583.0,1261.3,38044928088.0,0.09437383779749443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31020056.0,186.92523606650235,0.10620190540467252,171.10776699029125,2429240.4911749996,0.33386774536945313,3.0,1.0,1.0,0.0,0.0,1.0,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,3.0,2.0,0.0,0.0,0.6,0.4,0.0,0.0,9.0,6.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,102.0,1.02,0.07,88.0,81.0,0.88,0.81,3.01,0.0
127.0,18243.0,97.8905,283875.0,105.0,547011687742.0,950.6859000000001,850.9449999999999,0.9793579743067269,1169.6,100.0,100.0,1.0,0.0,0.0,24.0,1.0,0.0,0.4,1066.43,1.1217479926861227,52.412971826924675,251.9810000000001,0.018722043836847793,0.014507045927395797,0.9329162321863051,0.9946655132641292,1849.0,1169.6,59836662525.0,0.10938827060898591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65912651.0,232.1889951563188,0.06426420079260238,173.74285714285713,1926945.6195226773,0.34030529871743487,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.4,0.6,0.0,0.0,97.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,97.0,0.0,3.0,199.0,1.99,0.0,94.0,86.0,0.94,0.86,2.79,0.0
408.0,15665.2,96.9767,165696.0,101.0,212429902308.0,849.2557,700.0540000000001,0.964430197213033,272.45,100.0,100.0,1.0,0.0,0.0,27.0,4.0,0.0,0.4,980.309,1.1543154788363503,73.77190239140103,334.61699999999996,0.013374007722384802,0.023987210504521315,0.9094202898550725,0.9951159951159951,563.0,272.45,18138907404.0,0.08538773123239768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26052813.0,157.2326006662804,0.09454181151023562,155.10099009900992,1282046.050043453,0.33096592245867323,2.0,0.0,3.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,3.0,1.0,0.0,0.0,0.75,0.25,1.8,3.0,97.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,97.0,0.0,3.0,197.0,1.97,0.02,57.0,55.0,0.57,0.55,4.42,0.0
